set_number,set_name,year_released,number_of_parts,theme_name
3733-1,Gray Windows with Clear Panes,2000,20,Bulk Bricks
3734-1,Train Windows with Panes Blue,2000,20,Bulk Bricks
3738-1,Large Spruce Trees,2000,10,Bulk Bricks
3751-1,1 x 2 Brown Bricks,2003,100,Bulk Bricks
3752-1,1 x 6 Brown Bricks,2002,50,Bulk Bricks
3753-1,2 x 2 Brown Bricks,2003,100,Bulk Bricks
3754-1,2 x 4 Brown Bricks,2003,50,Bulk Bricks
3755-1,2 x 4 Roof Tile Brown,2003,50,Bulk Bricks
3756-1,2 x 4 Brown Ridge Roof Tiles Steep Sloped,2003,25,Bulk Bricks
B001-1,"1 x 4 x 5 Black Window Frames, Transparent Blue Panes",2001,20,Bulk Bricks
B002-1,1 x 4 x 3 Train Window Clear,2000,25,Bulk Bricks
B003-1,"Red Frame, Black Door, Green Pane",2003,10,Bulk Bricks
B004-1,2 x 4 Ridge Roof Tile Low Sloped Black,2003,25,Bulk Bricks
B005-1,2 x 4 Ridge Roof Tile Low Sloped Red,2003,25,Bulk Bricks
BAG6-1,Gray Brick Separator with Black Frame Pieces,2006,56,Bulk Bricks
F6316-1,Flags and Posts,2006,100,Bulk Bricks
K10145-1,Mouse Hole Kit,2005,0,Bulk Bricks
10066-1,Castle Accessories,2002,41,Castle
3732-1,Castle Expander Pack,2000,24,Castle
10072-1,TECHNIC Beams,2003,56,Technic
10073-1,Bushes,2003,130,Technic
10074-1,Cross Axles,2003,68,Technic
10076-1,TECHNIC Gear Wheels,2002,40,Technic
10077-1,TECHNIC Motor,2003,55,Technic
10078-1,Train Connection Wire,2003,1,Train
3735-1,Grey Train Doors with Panes,2000,20,Train
3736-1,Blue Train Doors with Panes,2000,20,Train
3737-1,Train Accessories,2000,15,Train
40413-1,Mini Robots,2020,366,Mindstorms
4524081-1,Mindstorms NXT CD,2007,0,Mindstorms
51515-1,Robot Inventor,2020,949,Mindstorms
88016-1,Technic Large Hub,2021,2,Mindstorms
10285-1,Compass Sensor for Mindstorms NXT,2011,1,NXT
10287-1,Intelligent NXT Brick (Black),2009,1,NXT
2852724-1,Accelerometer Sensor,2011,0,NXT
2852725-1,Infrared Seeker,2011,1,NXT
2852726-1,Gyroscopic Sensor,2011,0,NXT
2853216-1,Infrared Link Sensor for Mindstorms NXT,2011,1,NXT
2855040-1,Infrared Receiver Sensor for Mindstorms NXT,2011,0,NXT
8527-1,LEGO Mindstorms NXT,2006,579,NXT
8528-1,Converter Cables for Mindstorms NXT,2006,3,NXT
8529-1,Connector Cables for Mindstorms NXT,2006,7,NXT
8547-1,Mindstorms NXT 2.0,2009,621,NXT
9693-1,"Rechargeable Battery for Lego Mindstorms NXT, DC plug",2010,1,NXT
9694-1,NXT Color Sensor,2010,1,NXT
9695-1,Mindstorms Education Resource Set,2010,819,NXT
9749-1,NXT Temperature Sensor,2009,1,NXT
9798-1,NXT Rechargeable Battery,2006,1,NXT
9799-1,Sensor Adaptor for Mindstorms NXT to Vernier,2008,1,NXT
9833-1,AC Adapter 230V - 10V Transformer,1996,1,NXT
9833-2,"AC Adapter, 120V - 10V Transformer",1996,1,NXT
9833-3,AC Adapter 230V - 10V Transformer Type G Plug (British),2006,1,NXT
9841-1,NXT Intelligent Brick,2006,1,NXT
9842-1,NXT Servo Motor,2006,1,NXT
9843-1,NXT Touch Sensor,2006,1,NXT
9844-1,NXT Light Sensor,2006,1,NXT
9845-1,NXT Sound Sensor,2006,1,NXT
9846-1,NXT Ultrasonic Sensor,2006,1,NXT
9847-2,NXT Bluetooth Dongle,2006,0,NXT
D100340-1,LogIT Sensor Adapter,2010,1,NXT
K9833-1,Rechargeable Battery Set,2007,0,NXT
K9833-2,Rechargeable Battery Set (AC Adapter 230V - 10V Transformer),2006,0,NXT
MiniNXT-1,Mini NXT Brick,2008,3,NXT
MS1032-1,Infrared Receiver Sensor for Mindstorms NXT,2010,1,NXT
MS1034-1,Compass Sensor for Mindstorms NXT,2006,1,NXT
MS1038-1,Color Sensor for Mindstorms NXT,2006,1,NXT
MS1040-1,Accelerometer Sensor for Mindstorms NXT,2007,1,NXT
MS1042-1,Infrared Seeker for Mindstorms NXT (Version 1),2007,1,NXT
MS1044-1,Gyroscopic Sensor for Mindstorms NXT,2007,1,NXT
MS1046-1,Infrared Link Sensor for Mindstorms NXT,2007,1,NXT
MS1048-1,Mindstorms RF ID Sensor,2008,3,NXT
MS1049-1,Mindstorms Keyfob Transponder,2008,10,NXT
MS1060-1,Mindstorms NXT Touch Sensor Multiplexer,2009,1,NXT
NAA1030-1,NXT Angle Sensor,2013,0,NXT
NEO1048-1,EOPD Sensor for Mindstorms NXT (Electro Optical Sensor),2009,0,NXT
NMS1035-1,NXT Magnetic Sensor,2010,1,NXT
3800-1,Ultimate Builders Set,2001,322,RCX
3801-1,Ultimate Accessories,2000,45,RCX
3803-1,Robotics Invention System Upgrade Kit (1.5),1999,70,RCX
3804-1,"Robotics Invention System, Version 2.0",2001,720,RCX
3805-1,Robotics Invention System Upgrade Kit (2.0),2002,1,RCX
9719-1,"Robotics Invention System, Version 1.0",1998,736,RCX
9730-1,RoboSports,1998,91,RCX
9731-1,Vision Command [RCX Digital Colour Camera],2000,139,RCX
9732-1,Extreme Creatures,1998,149,RCX
9735-1,Robotics Discovery Set,1999,390,RCX
9736-1,Exploration Mars,1999,158,RCX
9738-1,Remote Control,1998,1,RCX
9747-1,"Robotics Invention System, Version 1.5",1999,729,RCX
9755-1,Temperature Sensor,1999,1,RCX
9756-1,Rotation Sensor,1999,1,RCX
9757-1,Touch Sensor with Cable,1999,2,RCX
9758-1,Light Sensor 9V,1999,1,RCX
9911-1,9-Volt Touch Sensor and Leads,2004,3,RCX
K3801-1,RIS 2.0 Builders Kit,2003,0,RCX
K9916-1,Robotics Invention System Kit,2003,0,RCX
KB565-1,RIS 2.0 Basics Kit,2004,1,RCX
MiniRCX-1,Mini RCX Brick,2008,4,RCX
9748-1,Droid Developer Kit,1999,658,Star Wars
9754-1,Dark Side Developer Kit,2000,578,Star Wars
31313-1,Mindstorms EV3,2013,601,EV3
45500-1,EV3 Intelligent Brick,2013,1,EV3
45501-1,EV3 Rechargeable DC Battery,2013,1,EV3
45502-1,EV3 Large Servo Motor,2013,1,EV3
45503-1,EV3 Medium Servo Motor,2013,1,EV3
45504-1,EV3 Ultrasonic Sensor,2013,1,EV3
45505-1,EV3 Gyro Sensor,2013,1,EV3
45506-1,EV3 Color Sensor,2013,1,EV3
45507-1,EV3 Touch Sensor,2013,1,EV3
45508-1,EV3 Infrared Beacon,2013,1,EV3
45509-1,EV3 Infrared Sensor,2013,1,EV3
45514-1,EV3 Cable Pack,2013,7,EV3
EV3MEG-1,EV3 MEG Mini,2013,31,EV3
30130-1,Mini Black Pearl,2011,47,Pirates of the Caribbean
30131-1,Jack Sparrow's Boat,2011,21,Pirates of the Caribbean
30132-1,Voodoo Jack,2011,4,Pirates of the Caribbean
30133-1,Jack Sparrow,2011,4,Pirates of the Caribbean
4181-1,Isla De Muerta,2011,161,Pirates of the Caribbean
4182-1,The Cannibal Escape,2011,280,Pirates of the Caribbean
4183-1,The Mill,2011,368,Pirates of the Caribbean
4184-1,Black Pearl,2011,805,Pirates of the Caribbean
4191-1,The Captain's Cabin,2011,96,Pirates of the Caribbean
4192-1,Fountain of Youth,2011,129,Pirates of the Caribbean
4193-1,The London Escape,2011,468,Pirates of the Caribbean
4194-1,Whitecap Bay,2011,751,Pirates of the Caribbean
4195-1,Queen Anne's Revenge,2011,1097,Pirates of the Caribbean
5000021-1,Pirates of the Caribbean Classic Kit,2011,0,Pirates of the Caribbean
5000027-1,Pirates of the Caribbean: On Stranger Tides Collection,2011,0,Pirates of the Caribbean
71042-1,Silent Mary,2017,2294,Pirates of the Caribbean
853219-1,Pirates of the Caribbean Battle Pack,2011,30,Pirates of the Caribbean
20004-1,Jungle Cruiser,2008,83,Indiana Jones
7195-1,Ambush in Cairo,2009,79,Indiana Jones
7196-1,Chauchilla Cemetery Battle,2009,188,Indiana Jones
7197-1,Venice Canal Chase,2009,420,Indiana Jones
7198-1,Fighter Plane Attack,2009,384,Indiana Jones
7199-1,Temple of Doom,2009,652,Indiana Jones
7620-1,Indiana Jones Motorcycle Chase,2008,79,Indiana Jones
7621-1,Indiana Jones and the Lost Tomb,2008,277,Indiana Jones
7622-1,Race for the Stolen Treasure,2008,275,Indiana Jones
7623-1,Temple Escape,2008,560,Indiana Jones
7624-1,Jungle Duel,2008,91,Indiana Jones
7625-1,River Chase,2008,234,Indiana Jones
7626-1,Jungle Cutter,2008,516,Indiana Jones
7627-1,Temple of the Crystal Skull,2008,930,Indiana Jones
7628-1,Peril in Peru,2008,626,Indiana Jones
7682-1,Shanghai Chase,2009,244,Indiana Jones
7683-1,Fight on the Flying Wing,2009,376,Indiana Jones
77012-1,Fighter Plane Chase,2023,387,Indiana Jones
77013-1,Escape from the Lost Tomb,2023,600,Indiana Jones
77015-1,Temple of the Golden Idol,2023,1545,Indiana Jones
COMCON002-1,Indiana Jones Brickmaster Pack,2008,116,Indiana Jones
K7623-1,Indiana Jones Classic Adventures Collection,2008,0,Indiana Jones
KSB28-1,BrickMaster Sample Magazine,2008,0,Indiana Jones
30120-1,Guido,2011,34,Cars
30121-1,Grem,2011,52,Cars
66386-1,Cars 2 Super Pack 3 in 1,2011,0,Cars
66387-1,Cars 2 Super Pack 3 in 1,2011,0,Cars
66409-1,Cars Super Pack 3 in 1,2012,0,Cars
8200-1,Radiator Springs Lightning McQueen,2011,35,Cars
8201-1,Radiator Springs Classic Mater,2011,52,Cars
8206-1,Tokyo Pit Stop,2011,147,Cars
8423-1,World Grand Prix Racing Rivalry,2011,136,Cars
8424-1,Mater's Spy Zone,2011,114,Cars
8426-1,Escape at Sea,2011,159,Cars
8484-1,Ultimate Build Lightning McQueen,2011,242,Cars
8486-1,Mack's Team Truck,2011,379,Cars
8487-1,Flo's V8 Café,2011,517,Cars
8638-1,Spy Jet Escape,2011,339,Cars
8639-1,Big Bentley Bust Out,2011,745,Cars
8677-1,Ultimate Build Mater,2011,288,Cars
8678-1,Ultimate Build Francesco,2011,196,Cars
8679-1,Tokyo International Circuit,2011,852,Cars
9478-1,Francesco Bernoulli,2012,49,Cars
9479-1,Ivan Mater,2012,52,Cars
9480-1,Finn McMissile,2012,52,Cars
9481-1,Jeff Gorvette,2012,54,Cars
9483-1,Agent Mater's Escape,2012,144,Cars
9484-1,Red's Water Rescue,2012,199,Cars
9485-1,Ultimate Race Set,2012,280,Cars
9486-1,Oil Rig Escape,2012,422,Cars
TORQUE-1,"Rod ""Torque"" Redline",2012,30,Cars
8409-1,Spidermonkey,2010,22,Ben 10
8410-1,Swampfire,2010,23,Ben 10
8411-1,ChromaStone,2010,22,Ben 10
8517-1,Humungousaur,2010,15,Ben 10
8518-1,Jet Ray,2010,17,Ben 10
8519-1,Big Chill,2010,21,Ben 10
20017-1,Dagger Trap,2010,52,Prince of Persia
7569-1,Desert Attack,2010,57,Prince of Persia
7570-1,The Ostrich Race,2010,169,Prince of Persia
7571-1,The Fight for the Dagger,2010,258,Prince of Persia
7572-1,Quest Against Time,2010,506,Prince of Persia
7573-1,Battle of Alamut,2010,821,Prince of Persia
3815-1,Heroic Heroes of the Deep,2011,95,SpongeBob SquarePants
3816-1,Glove World,2011,169,SpongeBob SquarePants
3817-1,The Flying Dutchman,2012,241,SpongeBob SquarePants
3818-1,Bikini Bottom Undersea Party,2012,471,SpongeBob SquarePants
3825-1,Krusty Krab,2006,298,SpongeBob SquarePants
3826-1,Build-A-Bob,2006,445,SpongeBob SquarePants
3827-1,Adventures in Bikini Bottom,2006,579,SpongeBob SquarePants
3830-1,The Bikini Bottom Express,2008,210,SpongeBob SquarePants
3831-1,Rocket Ride,2008,279,SpongeBob SquarePants
3832-1,The Emergency Room,2008,236,SpongeBob SquarePants
3833-1,Krusty Krab Adventures,2009,209,SpongeBob SquarePants
3834-1,Good Neighbors at Bikini Bottom,2009,425,SpongeBob SquarePants
4981-1,The Chum Bucket,2007,337,SpongeBob SquarePants
4982-1,Mrs. Puff's Boating School,2007,394,SpongeBob SquarePants
1349-1,Steven Spielberg Moviemaker Set,2000,450,Studios
1351-1,Movie Backdrop Studio,2001,211,Studios
1352-1,Explosion Studio,2000,244,Studios
1353-1,Car Stunt Studio,2001,168,Studios
1354-1,Dino Head Attack,2000,95,Studios
1355-1,Temple of Gloom,2000,58,Studios
1356-1,Stuntman Catapult,2001,29,Studios
1357-1,Cameraman,2001,21,Studios
1360-1,Director's Copter,2001,22,Studios
1361-1,Camera Car,2001,20,Studios
1362-1,Air Boat,2001,24,Studios
1363-1,Stunt Go-Cart,2001,25,Studios
1380-1,Werewolf Ambush,2002,114,Studios
1381-1,Vampire's Crypt,2002,171,Studios
1382-1,Scary Laboratory,2002,503,Studios
1383-1,Curse of the Pharaoh,2002,51,Studios
1411-1,Pirate's Treasure Hunt (Quaker Oats promo),2001,35,Studios
1421-1,Director's Copter (Kabaya Promotional),2001,22,Studios
1422-1,Camera Cart (Kabaya Promotional),2001,20,Studios
1423-1,Air Boat (Kabaya Promotional),2001,24,Studios
1424-1,Stunt Go-Kart (Kabaya Promotional),2001,25,Studios
4049-1,"Nesquik Promotional Set: Quicky the Bunny, Director, Cameraman and Car",2001,28,Studios
4051-1,Quicky the Bunny,2001,4,Studios
4052-1,Director,2001,4,Studios
4053-1,Cameraman,2001,5,Studios
4056-1,Color Light,2001,13,Studios
4057-1,Spot Light,2001,10,Studios
4058-1,Cameraman 1,2001,4,Studios
4059-1,Director,2001,4,Studios
4060-1,Grip,2001,4,Studios
4061-1,Assistant,2001,4,Studios
4062-1,Actress,2001,4,Studios
4063-1,Cameraman 2,2001,4,Studios
4064-1,Actor 2,2001,4,Studios
4065-1,Actor 3,2001,4,Studios
4066-1,Actor 1,2001,4,Studios
4067-1,Buggy,2001,15,Studios
4068-1,Handy Camera,2001,6,Studios
4069-1,Katinco & Megaphone,2001,4,Studios
4070-1,Stand Camera,2001,7,Studios
4071-1,Bottles,2001,8,Studios
4072-1,Skeleton,2001,6,Studios
4073-1,Tree 1,2001,6,Studios
4074-1,Tree 3,2001,14,Studios
4075-1,Tree 2,2001,13,Studios
4076-1,Pteranodon,2001,17,Studios
4077-1,Plesiosaur,2001,13,Studios
4078-1,T-Rex,2001,18,Studios
4079-1,Mini Rex,2001,4,Studios
COKEJPIII-1,Japanese Coca-Cola Studios Polybag Collection,2001,0,Studios
K1383-1,Scary Monster Madness Kit,2002,0,Studios
kabstud-1,Studios 4-Pack,2001,0,Studios
NQSTUDIOS-1,Nesquik Studios Promo 3-Pack,2001,0,Studios
1370-1,Raptor Rumble Studio,2001,157,Jurassic Park III
1371-1,Spinosaurus Attack Studio,2001,186,Jurassic Park III
10766-1,Woody & RC,2019,69,Disney
10767-1,Duke Caboom's Stunt Show,2019,120,Disney
10768-1,Buzz and Bo Peep's Playground Adventure,2019,139,Disney
10769-1,Toy Story 4 RV Vacation,2019,178,Disney
10770-1,Buzz & Woody's Carnival Mania!,2019,230,Disney
10771-1,Carnival Thrill Coaster,2019,98,Disney
30070-1,Alien Space Ship,2010,29,Disney
30071-1,Army Jeep,2010,37,Disney
30072-1,Woody's Camp Out,2010,18,Disney
30073-1,Buzz's Mini Ship,2010,27,Disney
7590-1,Woody and Buzz to the Rescue,2010,92,Disney
7591-1,Construct-a-Zurg,2010,118,Disney
7592-1,Construct-a-Buzz,2010,211,Disney
7593-1,Buzz's Star Command Spaceship,2010,257,Disney
7594-1,Woody's Roundup!,2010,502,Disney
7595-1,Army Men on Patrol,2010,90,Disney
7596-1,Trash Compactor Escape,2010,373,Disney
7597-1,Western Train Chase,2010,586,Disney
7598-1,Pizza Planet Truck Rescue,2010,226,Disney
7599-1,Garbage Truck Getaway,2010,402,Disney
7789-1,Lotso's Dump Truck,2010,129,Disney
3450-1,Statue of Liberty,2000,2899,Sculptures
3723-1,Lego Minifigure,2000,1850,Sculptures
3724-1,Lego Dragon,2001,1535,Sculptures
40179-1,Personalised Mosaic Portrait,2016,4502,Mosaic
6162-1,A World of LEGO Mosaic 4 in 1,2007,286,Mosaic
6163-1,A World of LEGO Mosaic 9 in 1,2007,598,Mosaic
k34431-1,Lego Mosaic Cat,2003,2127,Mosaic
k34432-1,Lego Mosaic Dino,2003,2847,Mosaic
k34433-1,Lego Mosaic Johnny Thunder,2003,2127,Mosaic
K34434-1,Mosaic Tiger,2003,2217,Mosaic
10151-1,Hot Rod,2004,422,Model Team
2556-1,Ferrari Formula 1 Racing Car,1997,580,Model Team
5510-1,Off-Road 4x4,1986,285,Model Team
5521-1,Sea Jet,1993,401,Model Team
5533-1,Red Fury,1999,393,Model Team
5540-1,Formula 1 Racer,1986,447,Model Team
5541-1,Blue Fury,1995,421,Model Team
5542-1,Black Thunder,1998,483,Model Team
5550-1,Custom Rally Van,1991,525,Model Team
5561-1,Big Foot 4x4,1997,749,Model Team
5563-1,Racing Truck,1999,789,Model Team
5571-1,Giant Truck,1996,1748,Model Team
5580-1,Highway Rig,1986,668,Model Team
5581-1,Magic Flash,1993,785,Model Team
5590-1,Whirl and Wheel Super Truck,1990,1064,Model Team
5591-1,Mach II Red Bird Rig,1994,1173,Model Team
4651-1,Police Motorcycle,2003,12,4 Juniors
4652-1,Tow Truck,2003,26,4 Juniors
4653-1,Dump Truck,2003,28,4 Juniors
4654-1,Tanker Truck,2003,45,4 Juniors
4655-1,Quick Fix Station,2003,103,4 Juniors
4657-1,Fire Squad HQ,2003,149,4 Juniors
4666-1,Speedy Police Car,2003,25,4 Juniors
4667-1,Loadin' Digger,2003,30,4 Juniors
4668-1,Outrigger Construction Crane,2003,67,4 Juniors
4669-1,Turbo-Charged Police Boat,2003,54,4 Juniors
65462-1,Bonus/Value Pack,2004,0,4 Juniors
7070-1,Catapult Raft,2004,23,4 Juniors
7071-1,Treasure Island,2004,30,4 Juniors
7072-1,Captain Kragg's Pirate Boat,2004,41,4 Juniors
7073-1,Pirate Dock,2004,66,4 Juniors
7074-1,Skull Island,2004,81,4 Juniors
7075-1,Captain Redbeard's Pirate Ship,2004,141,4 Juniors
7075-2,Captain Redbeard's Pirate Ship - Limited Edition with Motor,2004,0,4 Juniors
7080-1,Scurvy Dog and Crocodile,2004,7,4 Juniors
7081-1,Harry Hardtack and Monkey,2004,10,4 Juniors
7082-1,Cannonball Jimmy and Shark,2004,7,4 Juniors
7099-1,Accessory Motor for Boats,2004,1,4 Juniors
7290-1,Pirates Polybag,2004,5,4 Juniors
1435-1,Super Glider (Kabaya Promotional),2002,7,Jack Stone
1436-1,Ultralight Flyer (Kabaya Promotional),2002,16,Jack Stone
1437-1,Turbo Chopper (Kabaya Promotional),2002,13,Jack Stone
4600-1,Police Cruiser,2001,23,Jack Stone
4601-1,Fire Cruiser,2001,22,Jack Stone
4603-1,Res-Q Wrecker,2001,29,Jack Stone
4604-1,Police Copter,2001,19,Jack Stone
4605-1,Fire Response SUV,2001,32,Jack Stone
4606-1,Aqua Res-Q Transport,2001,40,Jack Stone
4607-1,Copter Transport,2001,65,Jack Stone
4608-1,Bank Breakout,2001,68,Jack Stone
4609-1,Fire Attack Team,2001,97,Jack Stone
4610-1,Aqua Res-Q Super Station,2001,95,Jack Stone
4611-1,Police HQ,2001,140,Jack Stone
4612-1,Super Glider,2002,7,Jack Stone
4613-1,Turbo Chopper,2002,13,Jack Stone
4614-1,Ultralight Flyer,2002,16,Jack Stone
4615-1,Red Recon Flyer,2002,21,Jack Stone
4616-1,Rapid Response Tanker,2002,35,Jack Stone
4617-1,Dual Turbo Prop,2002,32,Jack Stone
4618-1,Twin Rotor Cargo,2002,47,Jack Stone
4619-1,A.I.R. Patrol Jet,2002,66,Jack Stone
4620-1,A.I.R. Operations HQ,2002,175,Jack Stone
4621-1,Jack Stone Red Flash Station,2002,32,Jack Stone
4622-1,Res-Q Digger,2002,67,Jack Stone
K4609-1,Jack Stone Fire Rescue Kit,2001,0,Jack Stone
K4611-1,Jack Stone Police Rescue Kit,2001,0,Jack Stone
K4612-1,Jack Stone Kit,2002,0,Jack Stone
4858-1,Doc Ock's Crime Spree,2004,57,Spider Man
4860-1,Doc Ock's Cafe Attack,2004,132,Spider Man
65708-1,Spider-Man Co-Pack,2004,0,Spider Man
,,,,Adventurers
1024601-1,Adventurers Value Pack,2001,1,Desert
1094-1,Johnny Thunder,1999,13,Desert
1182-1,Adventurers Raft,1999,18,Desert
1183-1,Mummy and Cart,1999,17,Desert
2541-1,Adventurers Car,1998,25,Desert
2542-1,Adventurers Aeroplane,1998,22,Desert
2879-1,Desert Expedition,1998,195,Desert
2995-1,Adventurers Car & Skeleton,1998,69,Desert
2996-1,Adventurers Tomb,1998,81,Desert
3020-1,Jones' Raft,1998,18,Desert
3021-1,King Pharaoh the Third,1998,17,Desert
3022-1,Plane of Hurrykain,1998,23,Desert
3023-1,Slyboot Car,1998,23,Desert
3039-1,Adventurers Plane,1999,23,Desert
3055-1,Adventurers Car,1998,21,Desert
3722-1,Treasure Tomb,1998,164,Desert
5900-1,Adventurer - Johnny Thunder,1998,13,Desert
5909-1,Treasure Raiders set with Mummy Storage Container,1998,197,Desert
5918-1,Scorpion Tracker,1998,35,Desert
5919-1,The Valley of the Kings,1998,163,Desert
5928-1,Bi-Wing Baron,1998,70,Desert
5938-1,Oasis Ambush,1998,81,Desert
5948-1,Desert Expedition,1998,196,Desert
5958-1,Mummy's Tomb,1998,258,Desert
5978-1,Sphinx Secret Surprise,1998,352,Desert
5988-1,Pharaoh's Forbidden Ruins,1998,720,Desert
1278-1,Johnny Thunder and Baby T,2000,23,Dino Island
1279-1,Aeroplane,2000,21,Dino Island
1280-1,Microcopter,2000,28,Dino Island
1281-1,Aeroplane,2000,25,Dino Island
5903-1,Johnny Thunder and Baby T,2000,23,Dino Island
5904-1,Microcopter,2000,28,Dino Island
5911-1,Johnny Thunder's Plane,2000,23,Dino Island
5912-1,Hydrofoil,2000,20,Dino Island
5913-1,Dr. Lightning's Car,2000,22,Dino Island
5914-1,Baby T-Rex Trap,2000,22,Dino Island
5920-1,Island Racer,2000,50,Dino Island
5921-1,Research Glider,2000,57,Dino Island
5934-1,Dino Explorer,2000,90,Dino Island
5935-1,Island Hopper,2000,203,Dino Island
5955-1,All Terrain Trapper,2000,191,Dino Island
5975-1,T-Rex Transport,2000,329,Dino Island
5987-1,Dino Research Compound,2000,624,Dino Island
KABDINO-1,Dino Island 4-Pack,2000,0,Dino Island
VP-15,Adventurers Super Value Pack,2000,0,Dino Island
1271-1,Jungle Surprise,1999,33,Jungle
5901-1,River Raft,1999,19,Jungle
5902-1,River Raft,1999,19,Jungle
5905-1,Hidden Treasure,1999,33,Jungle
5906-1,Ruler of the Jungle,1999,23,Jungle
5925-1,Pontoon Plane,1999,72,Jungle
5936-1,Spider's Secret,1999,129,Jungle
5956-1,Expedition Balloon,1999,175,Jungle
5976-1,River Expedition,1999,319,Jungle
5986-1,Amazon Ancient Ruins,1999,463,Jungle
3380-1,Johnny Thunder Chupa Chups Promotional,2003,6,Orient Expedition
3381-1,Lord Sam Sinister Chupa Chups Promotional,2003,5,Orient Expedition
3382-1,Jing Lee the Wanderer Chupa Chups Promotional,2003,4,Orient Expedition
7409-1,Secret of the Tomb,2003,42,Orient Expedition
7410-1,Jungle River,2003,66,Orient Expedition
7411-1,Tygurah's Roar,2003,97,Orient Expedition
7412-1,Yeti's Hideout,2003,117,Orient Expedition
7413-1,Passage of Jun-Chi,2003,104,Orient Expedition
7414-1,Elephant Caravan,2003,109,Orient Expedition
7415-1,Aero Nomad,2003,124,Orient Expedition
7416-1,Emperor's Ship,2003,181,Orient Expedition
7417-1,Temple of Mount Everest,2003,310,Orient Expedition
7418-1,Scorpion Palace,2003,380,Orient Expedition
7418-2,Scorpion Palace and Foam Scimitar,2003,1,Orient Expedition
7419-1,Dragon Fortress,2003,781,Orient Expedition
7420-1,Thunder Blazer,2003,69,Orient Expedition
7422-1,Airplane,2003,33,Orient Expedition
7422-2,Red Eagle,2003,33,Orient Expedition
7423-1,Mountain Sleigh,2003,30,Orient Expedition
7423-2,Mountain Sleigh (Kabaya Promotional),2003,30,Orient Expedition
7424-1,Black Cruiser,2003,28,Orient Expedition
7424-2,Small Car,2003,28,Orient Expedition
K7417-1,Orient Expedition in Mount Everest Kit,2003,0,Orient Expedition
K7418-1,Orient Expedition in India Kit,2003,0,Orient Expedition
K7419-1,Orient Expedition in China Kit,2003,0,Orient Expedition
K7422-1,Orient Expedition World Travel Kit,2003,0,Orient Expedition
KABORIENT-1,Orient Expedition 3-Pack,2003,0,Orient Expedition
VPORIENT-1,Orient Expedition Value Pack with Free LEGO Backpack,2003,1,Orient Expedition
10167-1,Brickmaster Welcome Kit,2004,182,Other
17101-1,Creative Toolbox,2017,847,Other
30029-1,Pudsey Bear,2011,95,Other
30499-1,Robot/Vehicle Free Builds,2018,56,Other
30541-1,Animal Free Builds - Make It Yours,2018,10,Other
30545-1,Fish Free Builds - Make It Yours,2019,39,Other
30548-1,Build Your Own Birds - Make It Yours,2020,26,Other
30549-1,Build Your Own Vehicles - Make It Yours,2020,59,Other
30563-1,Build Your Own Snail With Superpowers,2021,36,Other
30564-1,Build Your Own Monster or Vehicles,2021,60,Other
371-2,Motorized Truck Set,1967,314,Other
4000010-1,LEGO House,2014,250,Other
4000028-1,House,2018,64,Other
4000029-1,Windmill,2018,45,Other
4000030-1,Truck,2018,44,Other
40019-1,Brickley,2011,59,Other
40049-1,Mini Sopwith Camel,2012,65,Other
40154-1,Pencil Pot,2015,176,Other
40155-1,Piggy Coin Bank,2015,148,Other
40165-1,Minifigure Wedding Favor Set,2016,91,Other
40172-1,Brick Calendar,2017,278,Other
40173-1,Picture Frame,2017,268,Other
40174-1,LEGO Chess,2017,1450,Other
40187-1,Flowers,2018,100,Other
40188-1,Pencil Pot,2018,187,Other
40197-1,Wedding Favour 2018,2018,132,Other
40198-1,Ludo Game,2018,389,Other
40320-1,Plants from Plants,2018,29,Other
40357-1,BYGGLEK,2020,201,Other
40358-1,"Bean There, Donut That",2018,146,Other
40385-1,Trophy,2020,200,Other
40435-1,Plants from Plants,2019,29,Other
40460-1,Roses,2021,120,Other
40461-1,Tulips,2021,111,Other
40524-1,Sunflowers,2022,191,Other
40634-1,Icons of Play,2023,899,Other
40647-1,Lotus Flowers,2023,220,Other
40649-1,Up-Scaled LEGO Minifigure,2023,654,Other
4521-1,Fill Your Own 1-Litre Bag,2004,0,Other
4677-1,Name Letter Pack,2004,67,Other
5004932-1,My Travel Companion,2017,41,Other
6384690-1,LEGO Play Day 2021 Braille Bricks,2021,11,Other
66149-1,Value Pack,2006,0,Other
66152-1,Value Pack,2006,0,Other
66169-1,Creator Value Pack,2006,0,Other
66219-1,Value Pack,2007,0,Other
66242-1,Baseplate Co-Pack,2007,0,Other
66266-1,Value Pack,2008,0,Other
66289-1,Value Pack,2008,0,Other
66385-1,Value Pack,2010,0,Other
71006-1,The Simpsons House,2014,2547,Other
71016-1,The Kwik-E-Mart,2015,2179,Other
8465934-1,MUJI Christmas Set,2009,120,Other
8465972-1,MUJI Basic Set,2009,200,Other
850423-1,Minifigure Presentation Boxes,2012,89,Other
850425-1,Business Card Holder,2012,150,Other
850426-1,Pencil Holder,2012,157,Other
850702-1,Classic Picture Frame,2013,53,Other
850798-1,Classic Name Sign,2013,41,Other
850935-1,Classic Minifigure Graduation Set,2014,28,Other
852522-1,Letters Building System,2009,179,Other
852996-1,Max,2010,4,Other
853195-1,Brick Calendar,2011,120,Other
853340-1,Minifigure Wedding Favor Set,2011,30,Other
853922-1,Creative Rings Pod,2019,45,Other
8785452-1,MUJI Transparent Set,2010,0,Other
